"","TEAM","MATCH UP","GAME DATE","W/L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","BLK","TOV","PF","+/-","Ho_Aw"
"1","LAC","LAC vs. DAL",2021-11-23,"L",265,104,35,85,41.2,10,32,31.3,24,29,82.8,12,35,47,17,5,3,19,24,-8,"H"
"2","DAL","DAL @ LAC",2021-11-23,"W",265,112,39,89,43.8,12,39,30.8,22,27,81.5,12,30,42,22,11,5,15,23,8,"A"
"3","POR","POR vs. DEN",2021-11-23,"W",240,119,45,88,51.1,15,39,38.5,14,20,70,12,31,43,25,12,7,9,18,19,"H"
"4","DEN","DEN @ POR",2021-11-23,"L",240,100,38,78,48.7,15,33,45.5,9,11,81.8,7,30,37,26,6,5,19,15,-19,"A"
"5","NYK","NYK vs. LAL",2021-11-23,"W",240,106,37,82,45.1,15,34,44.1,17,21,81,7,45,52,23,7,4,17,23,6,"H"
"6","LAL","LAL @ NYK",2021-11-23,"L",240,100,34,91,37.4,11,36,30.6,21,30,70,13,37,50,23,8,3,12,17,-6,"A"
"7","DET","DET vs. MIA",2021-11-23,"L",240,92,35,84,41.7,10,38,26.3,12,14,85.7,9,26,35,22,7,1,15,23,-8,"H"
"8","MIA","MIA @ DET",2021-11-23,"W",240,100,35,76,46.1,9,29,31,21,29,72.4,12,39,51,22,9,3,17,19,8,"A"
"9","SAC","SAC vs. PHI",2021-11-22,"L",240,94,33,80,41.3,7,31,22.6,21,29,72.4,11,38,49,17,4,0,14,19,-8,"H"
"10","PHI","PHI @ SAC",2021-11-22,"W",240,102,36,85,42.4,9,32,28.1,21,27,77.8,11,34,45,19,9,6,7,20,8,"A"
"11","CHA","CHA @ WAS",2021-11-22,"W",240,109,40,91,44,15,31,48.4,14,24,58.3,6,30,36,21,11,4,10,22,6,"A"
"12","WAS","WAS vs. CHA",2021-11-22,"L",240,103,36,94,38.3,9,37,24.3,22,27,81.5,20,45,65,23,6,6,18,20,-6,"H"
"13","BOS","BOS vs. HOU",2021-11-22,"W",240,108,39,92,42.4,12,35,34.3,18,19,94.7,11,47,58,19,10,3,15,24,18,"H"
"14","HOU","HOU @ BOS",2021-11-22,"L",240,90,31,83,37.3,11,42,26.2,17,24,70.8,4,38,42,19,5,4,15,20,-18,"A"
"15","MIN","MIN @ NOP",2021-11-22,"W",240,110,40,100,40,10,44,22.7,20,28,71.4,21,28,49,21,14,9,12,20,14,"A"
"16","NOP","NOP vs. MIN",2021-11-22,"L",240,96,37,88,42,6,32,18.8,16,18,88.9,15,33,48,24,6,6,23,23,-14,"H"
"17","UTA","UTA vs. MEM",2021-11-22,"L",240,118,41,87,47.1,17,43,39.5,19,25,76,10,36,46,26,5,10,14,20,-1,"H"
